Kingdom	Phylum	Class	Order	Family	Genus	Species	nr_genomes	PhaC_gene	PhaC_status
Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae	NA	NA	NA	Unknown
Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	RBG-13-54-9	RBG-13-54-9	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	NA	8	NA	NO
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Genus of Anaerolineaceae	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA	9	NA	NO
Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	Family of SBR1031	Genus of SBR1031	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Family of Ardenticatenales	Genus of Ardenticatenales	NA	NA	NA	Unknown
Bacteria	Chloroflexi	OLB14	OLB14	OLB14	OLB14	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	1-20	1-20	1-20	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Genus of Caldilineaceae	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	C10-SB1A	C10-SB1A	C10-SB1A	NA	NA	NA	Unknown
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	NA	7	NA	NO
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Genus of Roseiflexaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	SJA-28	SJA-28	SJA-28	SJA-28	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	BSV26	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	NA	22	NA	NO
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	SR-FBR-L83	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	PHOS-HE36	PHOS-HE36	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Genus of Rhodothermaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Lacihabitans	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Family of Cytophagales	Genus of Cytophagales	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	NA	22	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea	NA	39	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Genus of Microscillaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA	6	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Blvii28_wastewater-sludge_group	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Williamwhitmania	NA	4	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	NA	39	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	7226	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Genus of Paludibacteraceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	NA	109	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	261	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Family of Sphingobacteriales	Genus of Sphingobacteriales	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	KD3-93	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	LiUU-11-161	LiUU-11-161	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Family of Chitinophagales	Genus of Chitinophagales	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	NA	613	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	42	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	NA	34	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	418	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	NA	62	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Genus of Chitinophagaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Rurimicrobium	NA	13	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	37-13	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Genus of Saprospiraceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	NA	13	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	NA	15	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Haliscomenobacter	NA	13	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	OLB8	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Anaerocella	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA	15	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	GWF2-29-10	GWF2-29-10	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Genus of Cryomorphaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	NA	17	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA	13	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	41	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Genus of Flavobacteriaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	617	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	1891	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD1-131	KD1-131	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	NA	72	NA	NO
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5	SB-5	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Genus of Prolixibacteraceae	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ST-12K33	ST-12K33	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	Order of Bacteroidia	Family of Bacteroidia	Genus of Bacteroidia	NA	NA	NA	Unknown
Bacteria	Bacteroidota	Bacteroidia	SM1A07	SM1A07	SM1A07	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Genus of Simkaniaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophales	Omnitrophales	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	NA	940	YES	YES
Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Genus of Fibrobacteraceae	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella	NA	13	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA	1912	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Genus of Yersiniaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella	NA	20	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	NA	46	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA	50	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Genus of Halieaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA	29	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	NA	39	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Genus of Rhodanobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella	NA	3	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Aquimonas	NA	16	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Chiayiivirga	NA	1	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Genus of Xanthomonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA	2009	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	179	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA	92	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	NA	124	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Genus of Moraxellaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix	NA	3	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	NA	65	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	19457	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	C1-B045	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Genus of Thioalkalispiraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	CCM19a	CCM19a	CCM19a	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Genus of Steroidobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	PLTA13	PLTA13	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	R7C24	R7C24	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	NA	2	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	KCM-B-112	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536	Ga0077536	NA	31	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Run-SP154	Run-SP154	Run-SP154	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Immundisolibacterales	Immundisolibacteraceae	Genus of Immundisolibacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	171	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Genus of Cellvibrionaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Oceanobacter	NA	15	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Hahella	NA	9	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	[Agitococcus]_lubricus_group	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Fluviicoccus	NA	4	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	14084	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Cavicella	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	Candidatus_Contendobacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	Candidatus_Competibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	NA	266	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	TRA3-20	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	NA	60	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Genus of Burkholderiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Genus of Oxalobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Aquaspirillaceae	Aquaspirillum	NA	1	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinimonadaceae	Chitinivorax	NA	2	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Aquaspirillaceae	Rivicola	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	NA	85	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Uruburuella	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinimonadaceae	Chitinimonas	NA	11	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Genus of Neisseriaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Genus of Nitrosomonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	NA	115	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	NA	40	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Uliginosibacterium	NA	5	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	NA	64	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuritalea	NA	83	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio	NA	30	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	B1-7BS	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Candidatus_Nitrotoga	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sterolibacterium	NA	6	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Ferribacterium	NA	NA	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	NA	171	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Genus of Rhodocyclaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	NA	NA	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Family of Burkholderiales	Genus of Burkholderiales	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Genus of Hydrogenophilaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	AAP99	NA	4	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira	NA	16	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Candidatus_Accumulibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Propionivibrio	NA	59	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	NA	191	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	NA	25	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	NA	37	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	NA	159	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Sphaerotilus	NA	51	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	NA	NA	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	NA	10	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Giesbergeria	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA	632	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	NA	126	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA	248	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	NA	NA	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Genus of Comamonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	NA	253	YES	YES
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA	583	YES	YES
